latitude,longitude,mac,acctupdatetime,peso
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 19:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 20:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 21:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-23 23:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 00:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 01:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 08:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 13:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 14:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 16:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 18:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 19:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 20:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 21:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 22:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-24 23:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 00:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 01:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 02:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 13:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 14:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 16:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 17:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 18:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 19:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 20:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 21:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 22:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-25 23:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 00:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 02:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 17:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 18:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 19:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 20:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 21:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 22:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-26 23:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 00:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 01:00:00,15
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 07:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 14:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 15:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 16:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 17:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 18:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 19:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 20:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 21:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 22:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-27 23:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 00:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 01:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 14:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 15:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 16:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 17:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 18:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 19:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 20:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 21:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 22:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-28 23:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 00:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 01:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 02:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 04:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 08:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 09:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 14:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 15:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 16:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 17:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 18:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 19:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 20:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 21:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 22:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-29 23:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 00:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 01:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 02:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 07:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 12:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 16:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 17:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 18:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 20:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 21:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-30 23:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 00:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 01:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 02:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 13:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 14:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 15:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 16:00:00,9
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 17:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 18:00:00,11
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 19:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 20:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 21:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 22:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-01-31 23:00:00,17
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 00:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 01:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 02:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 11:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 14:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 15:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 17:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 18:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 19:00:00,14
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 20:00:00,6
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 21:00:00,18
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 22:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-01 23:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 00:00:00,8
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 01:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 02:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 13:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 14:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 15:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 16:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 17:00:00,3
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 18:00:00,22
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 19:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 20:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 21:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 22:00:00,14
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-02 23:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 00:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 01:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 03:00:00,1
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 14:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 15:00:00,7
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 16:00:00,4
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 17:00:00,2
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 18:00:00,5
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 19:00:00,10
-0.9265030000000001,-78.625766,18:7C:0B:29:21:68,2020-02-03 20:00:00,7
